name,price
SONY XR-55A80J 4K ULTRA HD OLED GOOGLE TV,"86,999 ден."
"SAMSUNG QE-55S90DAEXXH OLED, 55"" OLED S90D 4K Smart TV","106,999 ден."
PHILIPS 65OLED820/12 4K UHD OLED ANDROID AMBILIGHT TV,"109,999 ден."
SONY XR-65A75KAEP 4K ULTRA HD OLED GOOGLE TV,"113,999 ден."
SAMSUNG QE-55S95DATXXH 4K ULTRA HD OLED SMART TV,"139,999 ден."
"SONY  XR-65A80LAEP 65"" 4K ULTRA HD FULL ARRAY LED GOOGLE TV","139,999 ден."
SAMSUNG QE-65S90FATXXH 65″ S90F OLED 4K Smart TV,"142,999 ден."
"TV Sony K65XR80PAEP 65"" 4K OLED 4K HDR Google TV","144,999 ден."
SAMSUNG QE65S90DATXXH 65″ S90D OLED 4K Smart TV,"149,999 ден."
SONY XR-55A83KAEP 4K ULTRA HD OLED GOOGLE TV,"153,899 ден."
SONY XR-65A83KAEP 4K ULTRA HD OLED GOOGLE TV,"182,999 ден."
SAMSUNG QE-65S95DATXXH  4K ULTRA HD OLED SMART TV,"186,999 ден."
